Path,Method,Schema,Model Name,Supported,Datasource,Resource
/apps/stdout.eda.nokia.com,GET,AppGroup,app_group,true,true,false
/apps/stdout.eda.nokia.com/v1alpha1,GET,ResourceList,resource_list,true,true,false
/apps/stdout.eda.nokia.com/v1alpha1/_ui/{pathname},GET,UIResult,,false,false,false
/apps/stdout.eda.nokia.com/v1alpha1/clusterstandardouts,DELETE,com.nokia.eda.stdout.v1alpha1.ClusterStandardOutList,,false,false,false
/apps/stdout.eda.nokia.com/v1alpha1/clusterstandardouts,GET,com.nokia.eda.stdout.v1alpha1.ClusterStandardOutList,cluster_standard_out_list,true,true,false
/apps/stdout.eda.nokia.com/v1alpha1/clusterstandardouts,POST,com.nokia.eda.stdout.v1alpha1.ClusterStandardOut,cluster_standard_out,true,false,true
/apps/stdout.eda.nokia.com/v1alpha1/clusterstandardouts/_deleted,GET,com.nokia.eda.stdout.v1alpha1.ClusterStandardOut_DeletedResources,,false,false,false
/apps/stdout.eda.nokia.com/v1alpha1/clusterstandardouts/{name},DELETE,Status,cluster_standard_out,true,false,true
/apps/stdout.eda.nokia.com/v1alpha1/clusterstandardouts/{name},GET,com.nokia.eda.stdout.v1alpha1.ClusterStandardOut,cluster_standard_out,true,true,true
/apps/stdout.eda.nokia.com/v1alpha1/clusterstandardouts/{name},PATCH,Patch,,false,false,false
/apps/stdout.eda.nokia.com/v1alpha1/clusterstandardouts/{name},PUT,com.nokia.eda.stdout.v1alpha1.ClusterStandardOut,cluster_standard_out,true,false,true
/apps/stdout.eda.nokia.com/v1alpha1/clusterstandardouts/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/stdout.eda.nokia.com/v1alpha1/clusterstandardouts/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/stdout.eda.nokia.com/v1alpha1/clusterstandardouts/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/stdout.eda.nokia.com/v1alpha1/clusterstandardouts/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/stdout.eda.nokia.com/v1alpha1/namespaces/{namespace}/standardouts,DELETE,com.nokia.eda.stdout.v1alpha1.StandardOutList,,false,false,false
/apps/stdout.eda.nokia.com/v1alpha1/namespaces/{namespace}/standardouts,GET,com.nokia.eda.stdout.v1alpha1.StandardOutList,standard_out_list,true,true,false
/apps/stdout.eda.nokia.com/v1alpha1/namespaces/{namespace}/standardouts,POST,com.nokia.eda.stdout.v1alpha1.StandardOut,standard_out,true,false,true
/apps/stdout.eda.nokia.com/v1alpha1/namespaces/{namespace}/standardouts/_deleted,GET,com.nokia.eda.stdout.v1alpha1.StandardOut_DeletedResources,,false,false,false
/apps/stdout.eda.nokia.com/v1alpha1/namespaces/{namespace}/standardouts/{name},DELETE,Status,standard_out,true,false,true
/apps/stdout.eda.nokia.com/v1alpha1/namespaces/{namespace}/standardouts/{name},GET,com.nokia.eda.stdout.v1alpha1.StandardOut,standard_out,true,true,true
/apps/stdout.eda.nokia.com/v1alpha1/namespaces/{namespace}/standardouts/{name},PATCH,Patch,,false,false,false
/apps/stdout.eda.nokia.com/v1alpha1/namespaces/{namespace}/standardouts/{name},PUT,com.nokia.eda.stdout.v1alpha1.StandardOut,standard_out,true,false,true
/apps/stdout.eda.nokia.com/v1alpha1/namespaces/{namespace}/standardouts/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/stdout.eda.nokia.com/v1alpha1/namespaces/{namespace}/standardouts/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/stdout.eda.nokia.com/v1alpha1/namespaces/{namespace}/standardouts/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/stdout.eda.nokia.com/v1alpha1/namespaces/{namespace}/standardouts/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/stdout.eda.nokia.com/v1alpha1/standardouts,GET,com.nokia.eda.stdout.v1alpha1.StandardOutList,,false,false,false
